population,householdsize,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,OtherPerCap,HispPerCap,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumKidsBornNeverMar,PctKidsBornNeverMar,ViolentCrimesPerPop
11980,3.1,75122,89.24,1.55,70.2,23.62,1.03,18.39,79584,29711,30233,13600,5725,27101,5115,22838,90.17,95.78,95.81,44.56,58.88,31,0.36,41.02
23123,2.82,47917,78.99,1.11,64.11,35.5,2.75,22.85,55323,20148,20191,18137,0,20074,5250,12222,85.33,96.82,86.46,51.14,62.43,43,0.24,127.56
29344,2.43,35669,82,1.15,55.73,22.25,2.94,14.56,42112,16946,17103,16644,21606,15528,5954,8405,78.85,92.37,75.72,66.08,74.19,164,0.88,218.59
16656,2.4,20580,68.15,0.24,38.95,39.48,11.71,18.33,26501,10810,10909,9984,4941,3541,2451,4391,62.36,65.38,67.43,59.59,70.27,561,3.84,306.64
11245,2.76,17390,69.33,0.55,42.82,32.16,11.21,14.43,24018,8483,9009,887,4425,3352,3000,1328,55.2,66.51,79.17,61.22,68.94,402,4.7,?
140494,2.45,21577,75.78,1,41.15,29.31,7.12,14.09,27705,11878,12029,7382,10264,10753,7192,8104,69.79,79.76,75.33,62.96,70.52,1511,1.58,442.95
28700,2.6,42805,79.47,0.39,47.7,30.23,5.41,17.23,50394,18193,18276,17342,21482,12639,21852,22594,79.76,92.05,77.12,65.16,72.81,263,1.18,226.63
59459,2.45,23221,71.6,0.67,35.74,32.58,8.81,22.59,28901,12161,12599,9820,6634,8802,7428,6187,58.7,69.89,62.76,63.08,72.44,2368,4.66,439.73
74111,2.46,25326,83.69,2.93,47.11,19.3,4.21,10.31,34269,13554,13727,8852,5344,8011,5332,5174,79.7,86.6,80.7,74.32,78.51,751,1.64,115.31
103590,2.62,17852,74.2,0.86,30.98,29.09,9.06,13.99,24058,10195,12126,5715,11313,5770,7320,6984,54.56,68.85,61.69,60.8,69.23,3537,4.71,1544.24
31601,2.54,24763,73.92,1.54,37.36,32.68,7.02,15.2,29509,12929,14051,7496,9126,9107,5267,4542,64.64,75.18,70.94,67.43,72.96,603,2.47,722.02
25158,2.89,25479,73.45,0,24.98,22.99,23.63,13.18,28567,10505,11407,10412,8238,9546,8330,7813,56.36,61.46,57.16,58.63,61.68,1479,7.44,2605.96
40641,2.54,20043,75.23,1.24,34.02,27.11,9.6,13.84,27655,11760,12608,6016,6636,9119,1982,16133,60.7,71.28,67.77,58.45,68.49,996,3.56,798.39
57140,2.74,19143,69.31,0.63,24.41,33.46,13.58,14.16,24442,9530,13974,5688,7669,12183,23509,10718,50.22,63.07,59.7,64.38,70.59,4401,8.51,1476.93
13132,2.53,25797,73.95,2.53,56.06,34.35,6.6,12.89,32055,11907,11961,0,9097,5646,0,1810,81.44,87.19,85.51,81.24,85.52,100,0.87,?
30954,2.69,37856,82.29,0.89,51.08,23.45,4.87,16.45,43154,16459,16637,13140,12365,14634,9502,6914,76.9,84.85,81.49,73.51,76.64,666,2.71,?
45532,2.85,44635,84.94,0.71,50.24,24.74,3.78,18.37,48757,16723,17014,8297,13171,12425,10337,11655,79.92,91.04,80.39,63.59,75.19,413,1.3,89.94
180038,2.62,34372,76.17,0.62,40.04,20.3,11.27,11.51,39652,17966,19362,17693,20931,16696,9438,11182,74.78,86.01,79.01,52.45,59.33,3034,2.62,374.07
14869,2.67,49851,81.88,0.89,69.45,23.77,1.59,19.47,58871,22647,22959,12964,15565,22630,9548,7828,82.05,94.94,78,64.94,72.84,86,0.74,112.5
261721,2.6,35048,90.25,0.81,39.01,11.05,2.71,9.12,41620,16239,17420,11615,13416,11175,7804,9045,75.99,87.64,76.69,63.48,71.53,2898,1.89,772.77
50889,2.77,51314,92.25,1.19,58.68,11.08,2.41,7.95,59421,21908,22294,16470,10181,14316,1754,9794,86.12,93.55,87.45,66.82,73.32,407,1.31,?
7322564,2.6,29823,73.57,0.48,35.38,24.6,13.12,12.56,34360,16281,21972,10505,10861,12851,7151,8420,52.24,67.42,59.25,47.37,56.42,527557,10.5,2097.71
26436,3.34,29043,90.39,0.53,28.69,10.74,6.9,15.99,28870,11338,12871,10242,6333,9734,7196,8444,77.88,90.58,78.19,51.64,64.58,258,1.69,644.75
12183,2.36,32221,84.63,0.51,38.36,23.87,3.37,10.47,40745,15012,15086,12405,20559,7679,7826,11733,72.56,84.48,77.2,75.27,77.15,160,1.78,145.2
16023,2.63,34934,80.47,0.3,47.11,27.98,2.74,23.43,39691,15534,16027,13246,9320,11052,9621,14449,72.98,82.62,75.63,67.95,75.78,167,1.41,560.71
24692,2.54,26198,73.97,1.36,42.1,31.04,3.92,16.09,31007,12779,12784,0,13934,12182,9809,9511,76.61,88.72,85.57,69.07,75.45,173,0.89,204.23
13842,2.35,45892,80.46,1.07,65.77,25.19,0.73,15.55,53342,24462,24669,12941,16625,36559,10485,12650,77.07,91.35,86.93,69.26,74.41,27,0.32,347.97
88693,2.7,28108,78.15,0.53,34.68,21.99,12.74,16.03,32096,13518,14237,9215,9266,9291,7746,8951,63.25,74.02,65.85,52.92,62.42,2000,3.29,894.51
